Global Land and Ocean February - January Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1999,0.62
2000,0.40
2001,0.42
2002,0.57
2003,0.62
2004,0.62
2005,0.57
2006,0.68
2007,0.68
2008,0.59
2009,0.58
2010,0.68
2011,0.72
2012,0.61
2013,0.67
2014,0.68
2015,0.76
2016,0.94
2017,1.02
2018,0.92
2019,0.87
2020,1.00
2021,0.99
2022,0.87
2023,0.89
2024,1.22
